player,game_id,survival,coins
A,20260521_215130,True,2
B,20260521_215130,False,0
C,20260521_215130,False,0
D,20260521_215130,True,4
A,20260521_215440,True,3
B,20260521_215440,True,4
C,20260521_215440,True,3
D,20260521_215440,True,4
A,20260521_215606,True,3
B,20260521_215606,True,4
C,20260521_215606,True,4
D,20260521_215606,True,4
A,20260521_215726,False,0
B,20260521_215726,False,0
C,20260521_215726,False,0
D,20260521_215726,False,0
A,20260521_220106,True,2
B,20260521_220106,False,0
C,20260521_220106,False,0
D,20260521_220106,True,4
A,20260521_220435,True,3
B,20260521_220435,True,3
C,20260521_220435,True,3
D,20260521_220435,False,0
A,20260521_220751,True,3
B,20260521_220751,True,3
C,20260521_220751,True,3
D,20260521_220751,False,0
A,20260521_220941,True,3
B,20260521_220941,False,0
C,20260521_220941,True,3
D,20260521_220941,True,4
A,20260521_221109,True,3
B,20260521_221109,True,4
C,20260521_221109,True,3
D,20260521_221109,True,4
A,20260521_221313,True,3
B,20260521_221313,True,4
C,20260521_221313,True,3
D,20260521_221313,True,4
A,20260521_221403,True,3
B,20260521_221403,True,4
C,20260521_221403,True,3
D,20260521_221403,True,4
