player,game_id,survival,coins
A,20260521_144123,False,0
B,20260521_144123,False,0
C,20260521_144123,True,2
D,20260521_144123,True,4
A,20260521_144335,True,3
B,20260521_144335,True,3
C,20260521_144335,True,3
D,20260521_144335,False,0
A,20260521_144602,True,3
B,20260521_144602,True,4
C,20260521_144602,True,3
D,20260521_144602,True,4
A,20260521_144701,True,4
B,20260521_144701,True,4
C,20260521_144701,True,3
D,20260521_144701,True,4
A,20260521_144753,True,4
B,20260521_144753,True,4
C,20260521_144753,True,4
D,20260521_144753,True,4
A,20260521_144848,True,4
B,20260521_144848,True,4
C,20260521_144848,True,4
D,20260521_144848,True,4
A,20260521_144916,True,4
B,20260521_144916,True,4
C,20260521_144916,True,4
D,20260521_144916,True,4
