player,game_id,survival,coins
A,20251209_011156,False,0
B,20251209_011156,False,0
C,20251209_011156,False,0
D,20251209_011156,False,0
A,20251209_011954,True,4
B,20251209_011954,True,3
C,20251209_011954,True,3
D,20251209_011954,True,4
A,20251209_012421,True,4
B,20251209_012421,True,3
C,20251209_012421,True,3
D,20251209_012421,True,4
A,20251209_012629,True,4
B,20251209_012629,True,3
C,20251209_012629,True,3
D,20251209_012629,True,4
A,20251209_012945,True,4
B,20251209_012945,True,3
C,20251209_012945,True,4
D,20251209_012945,True,4
A,20251209_013248,True,4
B,20251209_013248,True,3
C,20251209_013248,True,4
D,20251209_013248,True,4
A,20251209_013520,True,4
B,20251209_013520,True,3
C,20251209_013520,True,4
D,20251209_013520,True,4
A,20251209_013700,True,4
B,20251209_013700,True,3
C,20251209_013700,True,4
D,20251209_013700,True,4
A,20251209_013921,True,4
B,20251209_013921,True,3
C,20251209_013921,True,4
D,20251209_013921,True,4
A,20251209_014148,True,4
B,20251209_014148,True,3
C,20251209_014148,True,4
D,20251209_014148,True,4
A,20251209_014257,True,4
B,20251209_014257,True,3
C,20251209_014257,True,4
D,20251209_014257,True,4
