player,game_id,survival,coins
A,20260522_144129,False,0
B,20260522_144129,False,0
C,20260522_144129,True,2
D,20260522_144129,True,4
A,20260522_144415,False,0
B,20260522_144415,False,0
C,20260522_144415,True,2
D,20260522_144415,True,4
A,20260522_144717,True,4
B,20260522_144717,True,3
C,20260522_144717,True,3
D,20260522_144717,True,4
A,20260522_145019,True,4
B,20260522_145019,True,3
C,20260522_145019,True,3
D,20260522_145019,True,4
A,20260522_145125,True,4
B,20260522_145125,True,3
C,20260522_145125,True,3
D,20260522_145125,True,4
A,20260522_145218,True,4
B,20260522_145218,True,3
C,20260522_145218,True,3
D,20260522_145218,True,4
A,20260522_145252,True,4
B,20260522_145252,True,3
C,20260522_145252,True,3
D,20260522_145252,True,4
A,20260522_145315,True,4
B,20260522_145315,True,3
C,20260522_145315,True,3
D,20260522_145315,True,4
A,20260522_145333,True,4
B,20260522_145333,True,3
C,20260522_145333,True,3
D,20260522_145333,True,4
A,20260522_145352,True,4
B,20260522_145352,True,3
C,20260522_145352,True,3
D,20260522_145352,True,4
A,20260522_145411,True,4
B,20260522_145411,True,3
C,20260522_145411,True,3
D,20260522_145411,True,4
