folder,model,reasoning,refl,schedule,g1_sev,n_post,targ,nonq4_raw,smooth_baseline_nonq4,spill,scarred,survival,total_decisions,defaulted_decisions,api_errors,api_error_rate
main_gpt5_mini_recovery_20260520_014556,gpt-5.4-mini-2026-03-17,high,none,1strike,CATAS,10,1.4,3.1,1.1714,1.9286,1,61.36,86,0,0,0.0
main_gpt5_mini_recovery_20260520_021956,gpt-5.4-mini-2026-03-17,high,none,1strike,CATAS,10,0.1,2.0,1.1714,0.8286,0,77.27,67,0,0,0.0
main_gpt5_mini_recovery_20260520_023901,gpt-5.4-mini-2026-03-17,high,none,1strike,CATAS,10,0.3,2.2,1.1714,1.0286,0,84.09,58,0,0,0.0
main_gpt5_mini_recovery_20260520_025646,gpt-5.4-mini-2026-03-17,high,none,1strike,MEMBER,10,1.1,0.0,1.1714,-1.1714,1,81.82,66,0,0,0.0
main_gpt5_mini_smooth_20260520_200744,gpt-5.4-mini-2026-03-17,high,none,smooth,NA,7,0.0,0.0,1.1714,-1.1714,0,100.0,28,0,0,0.0
main_gpt5_mini_smooth_20260520_201200,gpt-5.4-mini-2026-03-17,high,none,smooth,NA,7,0.0,1.5714,1.1714,0.4,0,92.86,33,0,0,0.0
main_gpt5_mini_smooth_20260520_201849,gpt-5.4-mini-2026-03-17,high,none,smooth,NA,7,0.0,0.2857,1.1714,-0.8857,0,100.0,28,0,0,0.0
main_gpt5_mini_smooth_20260520_202207,gpt-5.4-mini-2026-03-17,high,none,smooth,NA,7,0.0,2.2857,1.1714,1.1143,0,85.71,39,0,0,0.0
main_gpt5_mini_smooth_20260520_203011,gpt-5.4-mini-2026-03-17,high,none,smooth,NA,7,0.1429,1.7143,1.1714,0.5429,0,85.71,39,0,0,0.0
main_gpt5_recovery_20251209_011156,gpt5.1-high,high,none,1strike,CATAS,10,1.1,0.2,0.36,-0.16,1,90.91,50,0,0,0.0
main_gpt5_recovery_20251210_132247,gpt5.1-high,high,none,1strike,MEMBER,10,1.0,0.1,0.36,-0.26,1,93.18,50,0,0,0.0
main_gpt5_recovery_20251210_143122,gpt5.1-high,high,none,1strike,MEMBER,10,0.4,1.4,0.36,1.04,0,88.64,55,0,0,0.0
main_gpt5_recovery_20251210_160623,gpt5.1-high,high,none,1strike,CAUGHT,10,1.0,0.1,0.36,-0.26,1,88.64,58,0,0,0.0
main_gpt5_recovery_20251210_181703,gpt5.1-high,high,none,1strike,MEMBER,10,0.3,0.4,0.36,0.04,0,93.18,50,0,0,0.0
main_gpt5_recovery_20251210_201531,gpt5.1-high,high,none,1strike,MEMBER,10,0.8,0.4,0.36,0.04,1,90.91,55,0,0,0.0
main_gpt5_recovery_20251210_213256,gpt5.1-high,high,none,1strike,MEMBER,10,0.4,0.3,0.36,-0.06,0,90.91,55,0,0,0.0
main_gpt5_recovery_20251214_000943,gpt5.1-high,high,none,1strike,MEMBER,10,0.3,0.1,0.36,-0.26,0,93.18,50,0,0,0.0
main_gpt5_recovery_20251214_204711,gpt5.1-high,high,none,1strike,MEMBER,10,0.3,1.2,0.36,0.84,0,90.91,55,0,0,0.0
main_gpt5_recovery_20260531_000435,gpt5.1-high,high,none,1strike,MEMBER,10,0.0,2.0,0.36,1.64,0,93.18,50,0,0,0.0
main_gpt5_smooth_20251208_235541,gpt5.1-high,high,none,smooth,NA,10,0.1,0.3,0.36,-0.06,0,97.5,43,0,0,0.0
main_gpt5_smooth_20251210_005702,gpt5.1-high,high,none,smooth,NA,10,0.0,0.3,0.36,-0.06,0,97.5,43,0,0,0.0
main_gpt5_smooth_20251210_010154,gpt5.1-high,high,none,smooth,NA,10,0.0,0.3,0.36,-0.06,0,97.5,43,0,0,0.0
main_gpt5_smooth_20251210_015406,gpt5.1-high,high,none,smooth,NA,10,0.2,0.6,0.36,0.24,0,97.5,43,0,0,0.0
main_gpt5_smooth_20251210_023113,gpt5.1-high,high,none,smooth,NA,10,0.0,0.3,0.36,-0.06,0,97.5,43,0,0,0.0
