folder,model,reasoning,refl,schedule,g1_sev,n_post,targ,nonq4_raw,smooth_baseline_nonq4,spill,scarred,survival,total_decisions,defaulted_decisions,api_errors,api_error_rate
ablation_d_schedule_opus_adaptive_norefl_recur_20260521_000715,claude-opus-4-6,adaptive,none,recur,MEMBER,6,1.1667,1.1667,1.5429,-0.3762,1,84.09,59,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_recur_20260521_003115,claude-opus-4-6,adaptive,none,recur,MEMBER,6,0.0,2.0,1.5429,0.4571,0,84.09,60,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_recur_20260521_004749,claude-opus-4-6,adaptive,none,recur,CAUGHT,6,1.0,0.0,1.5429,-1.5429,1,86.36,58,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_recur_20260521_010623,claude-opus-4-6,adaptive,none,recur,CAUGHT,6,1.8333,0.1667,1.5429,-1.3762,1,88.64,57,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_recur_20260531_000450,claude-opus-4-6,adaptive,none,recur,CAUGHT,6,0.0,2.0,1.5429,0.4571,0,86.36,60,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_recur_20260531_002153,claude-opus-4-6,adaptive,none,recur,CAUGHT,6,1.0,1.1667,1.5429,-0.3762,1,86.36,58,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_recur_20260531_003902,claude-opus-4-6,adaptive,none,recur,MEMBER,6,1.0,1.0,1.5429,-0.5429,1,81.82,65,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_recur_20260531_010142,claude-opus-4-6,adaptive,none,recur,CAUGHT,6,1.0,1.0,1.5429,-0.5429,1,88.64,57,0,0,0.0
ablation_d_schedule_opus_adaptive_norefl_recur_20260531_011732,claude-opus-4-6,adaptive,none,recur,CAUGHT,6,1.5,1.0,1.5429,-0.5429,1,77.27,71,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_2strike_20260520_023229,claude-sonnet-4-6,adaptive,none,2strike,CAUGHT,9,1.0,1.0,1.8571,-0.8571,1,88.64,55,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_2strike_20260520_024518,claude-sonnet-4-6,adaptive,none,2strike,CAUGHT,9,0.0,1.3333,1.8571,-0.5238,0,86.36,56,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_2strike_20260520_025822,claude-sonnet-4-6,adaptive,none,2strike,CAUGHT,9,1.2222,1.4444,1.8571,-0.4127,1,81.82,64,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_2strike_20260520_032005,claude-sonnet-4-6,adaptive,none,2strike,MEMBER,9,1.0,2.0,1.8571,0.1429,1,81.82,67,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_2strike_20260520_034841,claude-sonnet-4-6,adaptive,none,2strike,CAUGHT,9,2.0,0.2222,1.8571,-1.6349,1,86.36,60,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_2strike_20260522_135856,claude-sonnet-4-6,adaptive,none,2strike,CAUGHT,9,1.0,2.1111,1.8571,0.254,1,79.55,69,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_2strike_20260522_142724,claude-sonnet-4-6,adaptive,none,2strike,CAUGHT,9,1.0,0.0,1.8571,-1.8571,1,86.36,55,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_2strike_20260522_144129,claude-sonnet-4-6,adaptive,none,2strike,CAUGHT,9,2.0,0.0,1.8571,-1.8571,1,90.91,54,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_2strike_20260522_145427,claude-sonnet-4-6,adaptive,none,2strike,CAUGHT,9,1.0,1.0,1.8571,-0.8571,1,86.36,55,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_2strike_20260522_150709,claude-sonnet-4-6,adaptive,none,2strike,CATAS,9,2.0,0.0,1.8571,-1.8571,1,81.82,56,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_3strike_20260520_210102,claude-sonnet-4-6,adaptive,none,3strike,CAUGHT,8,0.125,1.125,1.8571,-0.7321,0,79.55,64,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_3strike_20260520_212356,claude-sonnet-4-6,adaptive,none,3strike,CATAS,8,1.0,1.0,1.8571,-0.8571,1,84.09,58,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_3strike_20260520_214211,claude-sonnet-4-6,adaptive,none,3strike,CAUGHT,8,1.125,1.125,1.8571,-0.7321,1,79.55,64,0,0,0.0
