player,game_id,survival,coins
A,20251208_235541,False,0
B,20251208_235541,True,3
C,20251208_235541,True,2
D,20251208_235541,True,4
A,20251208_235902,True,4
B,20251208_235902,True,4
C,20251208_235902,True,4
D,20251208_235902,True,4
A,20251209_000229,True,4
B,20251209_000229,True,4
C,20251209_000229,True,4
D,20251209_000229,True,4
A,20251209_000338,True,4
B,20251209_000338,True,4
C,20251209_000338,True,4
D,20251209_000338,True,4
A,20251209_000736,True,4
B,20251209_000736,True,4
C,20251209_000736,True,4
D,20251209_000736,True,4
A,20251209_000900,True,4
B,20251209_000900,True,4
C,20251209_000900,True,4
D,20251209_000900,True,4
A,20251209_001048,True,4
B,20251209_001048,True,4
C,20251209_001048,True,4
D,20251209_001048,True,4
A,20251209_001315,True,4
B,20251209_001315,True,4
C,20251209_001315,True,4
D,20251209_001315,True,4
A,20251209_001607,True,4
B,20251209_001607,True,4
C,20251209_001607,True,4
D,20251209_001607,True,4
A,20251209_001726,True,4
B,20251209_001726,True,4
C,20251209_001726,True,4
D,20251209_001726,True,4
