player,game_id,survival,coins
A,20260522_135750,True,2
B,20260522_135750,True,2
C,20260522_135750,False,0
D,20260522_135750,False,0
A,20260522_140127,False,0
B,20260522_140127,False,0
C,20260522_140127,False,0
D,20260522_140127,False,0
A,20260522_140431,False,0
B,20260522_140431,True,3
C,20260522_140431,True,2
D,20260522_140431,True,4
A,20260522_140830,True,3
B,20260522_140830,True,3
C,20260522_140830,True,3
D,20260522_140830,False,0
A,20260522_141033,True,3
B,20260522_141033,True,3
C,20260522_141033,True,3
D,20260522_141033,False,0
A,20260522_141158,True,3
B,20260522_141158,True,3
C,20260522_141158,False,0
D,20260522_141158,True,4
A,20260522_141256,True,3
B,20260522_141256,True,3
C,20260522_141256,True,3
D,20260522_141256,False,0
A,20260522_141435,True,3
B,20260522_141435,True,3
C,20260522_141435,True,3
D,20260522_141435,False,0
A,20260522_141521,False,0
B,20260522_141521,True,3
C,20260522_141521,True,3
D,20260522_141521,True,4
A,20260522_141603,True,3
B,20260522_141603,True,3
C,20260522_141603,True,3
D,20260522_141603,False,0
A,20260522_141653,True,3
B,20260522_141653,False,0
C,20260522_141653,True,3
D,20260522_141653,True,4
