game_id,start_time,end_time,total_rounds,outcome,winner,num_survivors,survivors,duration_seconds
20260521_141514,2026-05-21 14:15:14.241034,2026-05-21 14:16:55.996170,3,SUCCESS,C,2,"C,D",101.755136
20260521_141655,2026-05-21 14:16:55.999472,2026-05-21 14:19:53.664125,3,SUCCESS,C,2,"C,D",177.664653
20260521_141953,2026-05-21 14:19:53.666938,2026-05-21 14:22:07.792558,1,SUCCESS,A,4,"A,B,C,D",134.12562
20260521_142207,2026-05-21 14:22:07.795275,2026-05-21 14:23:13.767666,1,SUCCESS,A,4,"A,B,C,D",65.972391
20260521_142313,2026-05-21 14:23:13.769698,2026-05-21 14:23:42.555217,1,SUCCESS,A,4,"A,B,C,D",28.785519
20260521_142342,2026-05-21 14:23:42.558151,2026-05-21 14:24:15.297489,1,SUCCESS,B,4,"A,B,C,D",32.739338
20260521_142415,2026-05-21 14:24:15.299392,2026-05-21 14:24:37.964873,1,SUCCESS,B,4,"A,B,C,D",22.665481
