player,game_id,survival,coins
A,20260521_115802,False,0
B,20260521_115802,True,1
C,20260521_115802,False,0
D,20260521_115802,False,0
A,20260521_120009,False,0
B,20260521_120009,True,2
C,20260521_120009,True,3
D,20260521_120009,True,4
A,20260521_120222,True,4
B,20260521_120222,True,3
C,20260521_120222,True,3
D,20260521_120222,True,4
A,20260521_120347,True,4
B,20260521_120347,True,3
C,20260521_120347,True,3
D,20260521_120347,True,4
A,20260521_120441,False,0
B,20260521_120441,False,0
C,20260521_120441,True,1
D,20260521_120441,False,0
A,20260521_120836,True,4
B,20260521_120836,True,3
C,20260521_120836,True,3
D,20260521_120836,True,4
A,20260521_121046,True,4
B,20260521_121046,True,3
C,20260521_121046,True,3
D,20260521_121046,True,4
A,20260521_121146,True,4
B,20260521_121146,True,3
C,20260521_121146,True,3
D,20260521_121146,True,4
A,20260521_121226,True,4
B,20260521_121226,True,3
C,20260521_121226,True,3
D,20260521_121226,True,4
A,20260521_121300,True,4
B,20260521_121300,True,3
C,20260521_121300,True,3
D,20260521_121300,True,4
A,20260521_121323,True,4
B,20260521_121323,True,3
C,20260521_121323,True,3
D,20260521_121323,True,4
